Sequence_ID,GC_Content
lcl|U00096.3_cds_AAC73112.1_1,51.52
lcl|U00096.3_cds_AAC73113.1_2,53.07
lcl|U00096.3_cds_AAC73114.1_3,56.27
lcl|U00096.3_cds_AAC73115.1_4,52.84
lcl|U00096.3_cds_AAC73116.1_5,53.87
lcl|U00096.3_cds_AAC73117.1_6,49.68
lcl|U00096.3_cds_AAC73118.1_7,53.32
lcl|U00096.3_cds_AAC73119.1_8,51.99
lcl|U00096.3_cds_AAC73120.1_9,54.42
lcl|U00096.3_cds_AAC73121.1_10,53.09
lcl|U00096.3_cds_AAC73122.1_11,50.84
lcl|U00096.3_cds_AYC08161.1_12,48.15
lcl|U00096.3_cds_AAC73124.1_13,48.89
lcl|U00096.3_cds_AAC73125.1_14,51.12
lcl|U00096.3_cds_AAC73126.1_15,55.17
lcl|U00096.3_cds_AAC73127.1_16,51.93
lcl|U00096.3_cds_AAC73129.1_17,51.43
lcl|U00096.3_cds_AAT48122.1_18,52.94
lcl|U00096.3_cds_AAC73130.1_19,51.41
lcl|U00096.3_cds_AAC73131.1_20,47.46
lcl|U00096.3_cds_AAC73132.1_21,54.56
lcl|U00096.3_cds_AAC73133.1_22,52.9
lcl|U00096.3_cds_AAC73134.1_23,46.59
lcl|U00096.3_cds_AAC73135.1_24,48.86
lcl|U00096.3_cds_AAC73136.1_25,53.61
lcl|U00096.3_cds_AAC73137.1_26,55.77
lcl|U00096.3_cds_AAC73138.1_27,53.54
lcl|U00096.3_cds_AAC73139.1_28,54.44
lcl|U00096.3_cds_AAC73140.1_29,55.1
lcl|U00096.3_cds_AAC73141.1_30,56.28
lcl|U00096.3_cds_AAC73142.1_31,53.41
lcl|U00096.3_cds_AAC73143.1_32,53.35
lcl|U00096.3_cds_AAC73144.1_33,56.27
lcl|U00096.3_cds_AAC73145.2_34,45.96
lcl|U00096.3_cds_AAC73146.2_35,54.99
lcl|U00096.3_cds_AAC73147.2_36,54.07
lcl|U00096.3_cds_AAC73148.2_37,51.03
lcl|U00096.3_cds_AAC73149.1_38,52.63
lcl|U00096.3_cds_AAC73150.1_39,53.89
lcl|U00096.3_cds_AAC73151.1_40,51.82
lcl|U00096.3_cds_AAC73152.2_41,52.53
lcl|U00096.3_cds_AAC73153.1_42,56.69
lcl|U00096.3_cds_AAC73154.1_43,54.93
lcl|U00096.3_cds_AAC73155.1_44,56.94
lcl|U00096.3_cds_AAC73156.1_45,53.3
lcl|U00096.3_cds_AAC73157.1_46,54.61
lcl|U00096.3_cds_AAC73158.1_47,55.5
lcl|U00096.3_cds_AAC73159.1_48,52.71
lcl|U00096.3_cds_AAC73160.1_49,55.75
lcl|U00096.3_cds_AAC73161.1_50,51.85
lcl|U00096.3_cds_AAC73162.1_51,53.04
lcl|U00096.3_cds_AAC73163.1_52,56.36
lcl|U00096.3_cds_AAC73164.1_53,53.85
lcl|U00096.3_cds_AAC73165.1_54,51.38
lcl|U00096.3_cds_AAC73166.1_55,52.7
lcl|U00096.3_cds_AYC08162.1_56,45.16
lcl|U00096.3_cds_AYC08163.1_57,33.96
lcl|U00096.3_cds_AAC73169.1_58,53.94
lcl|U00096.3_cds_AAC73170.1_59,54.9
lcl|U00096.3_cds_AAC73171.1_60,55.36
lcl|U00096.3_cds_AAC73172.1_61,55.32
lcl|U00096.3_cds_AAC73173.1_62,55.49
lcl|U00096.3_cds_AAC73174.1_63,58.02
lcl|U00096.3_cds_AAC73175.1_64,52.56
lcl|U00096.3_cds_AAC73176.1_65,53.86
lcl|U00096.3_cds_AAC73177.1_66,57.08
lcl|U00096.3_cds_AAC73178.1_67,58.41
lcl|U00096.3_cds_AAC73179.1_68,53.25
lcl|U00096.3_cds_AAC73180.1_69,54.89
lcl|U00096.3_cds_ACO59989.1_70,46.97
lcl|U00096.3_cds_AAT48123.1_71,48.52
lcl|U00096.3_cds_AAC73182.1_72,51.49
lcl|U00096.3_cds_AAC73183.1_73,55.75
lcl|U00096.3_cds_AAC73184.2_74,55.49
lcl|U00096.3_cds_AAC73185.1_75,52.99
lcl|U00096.3_cds_AAC73186.1_76,47.13
lcl|U00096.3_cds_AAC73187.2_77,45.71
lcl|U00096.3_cds_AYC08164.1_78,31.11
lcl|U00096.3_cds_AAC73188.2_79,52.93
lcl|U00096.3_cds_AAC73189.1_80,50.2
lcl|U00096.3_cds_AAC73191.1_81,54.93
lcl|U00096.3_cds_AAC73192.1_82,52.07
lcl|U00096.3_cds_AAC73193.1_83,55.2
lcl|U00096.3_cds_AAC73194.1_84,50.27
lcl|U00096.3_cds_AAC73195.1_85,53.99
lcl|U00096.3_cds_AAC73196.1_86,56.59
lcl|U00096.3_cds_AAC73197.1_87,55.11
lcl|U00096.3_cds_AAC73198.1_88,53.37
lcl|U00096.3_cds_AAC73199.1_89,54.9
lcl|U00096.3_cds_AAC73200.1_90,53.01
lcl|U00096.3_cds_AAC73201.1_91,56.09
lcl|U00096.3_cds_AAC73202.1_92,54.74
lcl|U00096.3_cds_AAC73203.1_93,51.57
lcl|U00096.3_cds_AAC73204.1_94,53.31
lcl|U00096.3_cds_AAC73205.1_95,52.1
lcl|U00096.3_cds_AAC73206.1_96,54.17
lcl|U00096.3_cds_AAC73207.1_97,51.09
lcl|U00096.3_cds_AAC73208.2_98,54.0
lcl|U00096.3_cds_AAC73209.1_99,52.4
lcl|U00096.3_cds_AAC73210.1_100,49.23
lcl|U00096.3_cds_AAC73212.1_101,51.52
lcl|U00096.3_cds_AAC73213.1_102,51.48
lcl|U00096.3_cds_AAC73214.1_103,52.66
lcl|U00096.3_cds_AYC08165.1_104,31.11
lcl|U00096.3_cds_AAC73215.1_105,51.34
lcl|U00096.3_cds_AAC73217.1_106,51.95
lcl|U00096.3_cds_AAC73218.1_107,53.46
lcl|U00096.3_cds_AAC73219.1_108,53.06
lcl|U00096.3_cds_AAC73220.1_109,53.13
lcl|U00096.3_cds_AAC73221.1_110,53.8
lcl|U00096.3_cds_AAC73222.1_111,52.05
lcl|U00096.3_cds_AAC73223.1_112,52.69
lcl|U00096.3_cds_AAC73224.1_113,55.82
lcl|U00096.3_cds_AAC73225.1_114,53.04
lcl|U00096.3_cds_AAC73226.1_115,54.68
lcl|U00096.3_cds_AAC73227.1_116,53.05
lcl|U00096.3_cds_AAC73228.1_117,53.88
lcl|U00096.3_cds_AAC73229.1_118,55.89
lcl|U00096.3_cds_AAC73230.2_119,52.07
lcl|U00096.3_cds_AAC73231.1_120,46.16
lcl|U00096.3_cds_AAC73232.1_121,50.75
lcl|U00096.3_cds_AAC73233.2_122,50.0
lcl|U00096.3_cds_AAC73234.1_123,54.67
lcl|U00096.3_cds_AAC73235.1_124,55.42
lcl|U00096.3_cds_AAC73236.2_125,50.65
lcl|U00096.3_cds_AAC73237.1_126,50.68
lcl|U00096.3_cds_AAC73238.1_127,49.62
lcl|U00096.3_cds_AAC73239.1_128,50.71
lcl|U00096.3_cds_AAC73240.1_129,49.21
lcl|U00096.3_cds_AAC73241.1_130,49.51
lcl|U00096.3_cds_AAC73242.1_131,52.49
lcl|U00096.3_cds_AAC73243.1_132,48.84
lcl|U00096.3_cds_AAC73244.1_133,52.7
lcl|U00096.3_cds_AAC73245.1_134,54.59
lcl|U00096.3_cds_AAC73246.1_135,40.36
lcl|U00096.3_cds_AAC73247.1_136,41.37
lcl|U00096.3_cds_AAC73248.1_137,42.57
lcl|U00096.3_cds_AAC73249.2_138,42.81
lcl|U00096.3_cds_AAC73250.1_139,43.34
lcl|U00096.3_cds_AAC73251.1_140,44.4
lcl|U00096.3_cds_AAC73252.1_141,44.79
lcl|U00096.3_cds_AAC73253.1_142,50.0
lcl|U00096.3_cds_AAC73254.2_143,55.87
lcl|U00096.3_cds_AAC73255.3_144,53.61
lcl|U00096.3_cds_AAC73256.1_145,52.63
lcl|U00096.3_cds_AAC73257.1_146,49.36
lcl|U00096.3_cds_AAC73258.2_147,55.93
lcl|U00096.3_cds_AAC73259.2_148,56.58
lcl|U00096.3_cds_AAC73260.1_149,55.15
lcl|U00096.3_cds_QNV50512.1_150,55.38
lcl|U00096.3_cds_AAC73261.1_151,51.25
lcl|U00096.3_cds_AAC73262.1_152,56.89
lcl|U00096.3_cds_AAC73263.1_153,54.66
lcl|U00096.3_cds_AAC73264.1_154,59.76
